Date,Open,High,Low,Close,Volume
03-07-2023,44957.94922,45353.19922,44882.10156,45158.10156,228200
04-07-2023,45310.55078,45655.5,45000.25,45301.44922,463000
05-07-2023,45169.69922,45418.89844,45073.39844,45151.80078,366300
06-07-2023,45060.55078,45417.5,45042.60156,45339.89844,244900
07-07-2023,45118.05078,45227.25,44844.80078,44925,220900
10-07-2023,44958.64844,45184.30078,44721.89844,44860.85156,220900
11-07-2023,44998,45139.55078,44663.05078,44745.05078,209000
12-07-2023,44872.60156,44937.25,44562.39844,44639.44922,233100
13-07-2023,45009.30078,45085.14844,44612.19922,44665.05078,336800
14-07-2023,44860.64844,44923.85156,44547.80078,44819.30078,196300
17-07-2023,44951.19922,45556.44922,44695.05078,45449.75,245900
18-07-2023,45754.80078,45905.85156,45281.30078,45410.85156,307300
19-07-2023,45622.5,45707.39844,45433,45669.30078,261100
20-07-2023,45689.05078,46256.19922,45640.94922,46186.89844,315200
21-07-2023,46063.94922,46369.5,45925.89844,46075.19922,235600
24-07-2023,46131.89844,46191.5,45858.75,45923.05078,225800
25-07-2023,46154.69922,46156.10156,45622.85156,45845,228100
26-07-2023,45935.14844,46096.60156,45804.69922,46062.35156,298400
27-07-2023,46285.85156,46310.10156,45570.64844,45679.30078,320400
28-07-2023,45560.89844,45727.75,45238.80078,45468.10156,194700
31-07-2023,45546.35156,45694.89844,45359.75,45651.10156,247900
01-08-2023,45740,45782.75,45471.05078,45592.5,175200
02-08-2023,45234.64844,45404.89844,44720.89844,44995.69922,233600
03-08-2023,44862.85156,45038.44922,44279.39844,44513.44922,245800
04-08-2023,44754.75,45118.05078,44520.55078,44879.5,245200
07-08-2023,44993.69922,45011.35156,44773.85156,44837.5,200800
08-08-2023,44888.94922,45096.85156,44817.85156,44964.44922,229400
09-08-2023,44973.44922,44975,44533.75,44880.69922,177300
10-08-2023,44797.64844,44980.35156,44418.39844,44541.80078,232000
11-08-2023,44568.14844,44571.25,44120.89844,44199.10156,196900
14-08-2023,44066.60156,44212.75,43776.89844,44090.94922,172300
16-08-2023,43726.25,44002.80078,43600.35156,43946.39844,0
17-08-2023,43897.25,44071.85156,43745.10156,43891.35156,266400
18-08-2023,43724.75,43957.64844,43672.44922,43851.05078,167600
21-08-2023,43952.85156,44113.80078,43862,44002,126300
22-08-2023,44125,44151.30078,43938.69922,43993.25,160700
23-08-2023,44064.5,44521.64844,43952.05078,44479.05078,212400
24-08-2023,44704.19922,44949.89844,44433.75,44496.19922,220400
25-08-2023,44276.19922,44359.10156,43983.75,44231.44922,152500
28-08-2023,44253.64844,44610.39844,44201.44922,44494.64844,163000
29-08-2023,44655.75,44673,44429.80078,44495.25,140300
30-08-2023,44706.55078,44779.64844,44149.80078,44232.60156,153100
31-08-2023,44265.85156,44399.64844,43895.05078,43989.14844,705100
01-09-2023,43996.10156,44568.55078,43830.75,44436.10156,320800
04-09-2023,44647.64844,44656.05078,44310.94922,44578.30078,0
05-09-2023,44625.05078,44668.69922,44401.69922,44532.14844,225500
06-09-2023,44494.64844,44577,44207.25,44409.10156,252000
07-09-2023,44418.05078,44915.55078,44341.19922,44878.35156,169100
08-09-2023,44953.64844,45383.35156,44812.14844,45156.39844,179100
11-09-2023,45340.80078,45636.19922,45231.30078,45570.69922,228100
12-09-2023,45893.80078,45893.80078,45322.55078,45511.35156,271400
13-09-2023,45449.35156,45990.5,45299.39844,45909.44922,441700
14-09-2023,46013.30078,46153.89844,45801.5,46000.85156,238600
15-09-2023,46122.14844,46310.39844,46028.75,46231.5,278400
18-09-2023,46100.94922,46252.94922,45906.89844,45979.85156,348800
20-09-2023,45493.69922,45745.14844,45276.39844,45384.60156,334000
21-09-2023,45179.60156,45276.80078,44592.44922,44623.85156,257700
22-09-2023,44707.35156,44996.75,44548.89844,44612.05078,249400
25-09-2023,44615,44936.55078,44400.89844,44766.10156,266500
26-09-2023,44722.5,44773.80078,44532.44922,44624.19922,188500
27-09-2023,44465.89844,44668,44182.5,44588.30078,221900
28-09-2023,44700.35156,44756.80078,44248.19922,44300.94922,389900
29-09-2023,44445.35156,44755.05078,44344.89844,44584.55078,156000
03-10-2023,44561.5,44566.30078,44243.10156,44399.05078,192600
04-10-2023,44108.14844,44161.35156,43857.5,43964.05078,310300
05-10-2023,44181.35156,44391.85156,44108.30078,44213.35156,243400
06-10-2023,44395.39844,44500.69922,44242.94922,44360.60156,157500
09-10-2023,44057.80078,44113.19922,43796.75,43886.5,162300
10-10-2023,44027.55078,44487.25,44004.55078,44360.14844,175300
11-10-2023,44554.89844,44710.55078,44411.39844,44516.89844,213700
12-10-2023,44571.55078,44693.05078,44530.05078,44599.19922,112100
13-10-2023,44322.05078,44563.05078,44203.69922,44287.94922,169900
16-10-2023,44204.75,44356.94922,44044.39844,44225.89844,140400
17-10-2023,44589.80078,44589.85156,44336.94922,44409.5,120500
18-10-2023,44404.19922,44412.5,43861.44922,43888.69922,217200
19-10-2023,43616.75,44058.80078,43558.10156,43754.5,156600
20-10-2023,43584.25,43877.5,43567.44922,43723.05078,152400
23-10-2023,43822.69922,43831.30078,43029.44922,43151.19922,201400
25-10-2023,43308.30078,43397.44922,42758.39844,42832,188300
26-10-2023,42708.39844,42716.19922,42105.39844,42280.14844,307100
27-10-2023,42555.60156,42840.14844,42482.75,42782,213900
30-10-2023,42721.39844,43112.5,42390.5,43039.14844,189000
31-10-2023,43356.85156,43356.85156,42797.14844,42845.94922,157400
01-11-2023,42694.25,42815.14844,42589.64844,42700.94922,145200
02-11-2023,43018.69922,43271.5,42796.44922,43017.19922,144700
03-11-2023,43318.30078,43416.10156,43221,43318.25,124100
06-11-2023,43627.75,43648.69922,43415.19922,43619.39844,149900
07-11-2023,43598.85156,43799.35156,43283.85156,43737.89844,198200
08-11-2023,43791.80078,43797.55078,43547.75,43658.64844,163400
09-11-2023,43626.10156,43876.75,43542.64844,43683.60156,108900
10-11-2023,43543.25,43908.69922,43504.94922,43820.10156,90000
13-11-2023,43915.10156,43970.75,43681.39844,43891.25,169600
15-11-2023,44398.44922,44408.55078,44164.55078,44201.69922,202500
16-11-2023,44251.69922,44420.94922,44064.14844,44161.55078,144300
17-11-2023,43656.25,43872.85156,43513.85156,43583.94922,227400
20-11-2023,43591.5,43724,43450.05078,43584.94922,124300
21-11-2023,43790.94922,43790.94922,43586.44922,43689.14844,108200
22-11-2023,43663.60156,43692.5,43230.94922,43449.60156,150900
23-11-2023,43452.75,43649.64844,43451.35156,43577.5,72300
24-11-2023,43607.35156,43806.5,43566.14844,43769.10156,96800
28-11-2023,43851.55078,43960.30078,43739.80078,43880.94922,151200
29-11-2023,44081.75,44630.35156,44003.44922,44566.44922,152300
30-11-2023,44711.19922,44764.80078,44254.60156,44481.75,343200
01-12-2023,44580.14844,44951.10156,44531.75,44814.19922,204900
04-12-2023,45671.5,46484.44922,45484.19922,46431.39844,311200
05-12-2023,46895.89844,47230.55078,46653.64844,47012.25,326100
06-12-2023,47256.75,47259.85156,46750.19922,46834.55078,244200
07-12-2023,46735.39844,46927.69922,46507.14844,46841.39844,208100
08-12-2023,46797.19922,47303.64844,46793.89844,47262,218300
11-12-2023,47233.30078,47588,47186.60156,47314.25,182500
12-12-2023,47421.69922,47454,47004.05078,47097.55078,182000
13-12-2023,47190.75,47201.94922,46886.89844,47092.25,202300
14-12-2023,47567.64844,47943.60156,47510.85156,47732.30078,193100
15-12-2023,47939.89844,48219.94922,47632.85156,48143.55078,313900
18-12-2023,48068.5,48076.60156,47806.69922,47867.69922,157300
19-12-2023,47940.39844,48017,47646.05078,47870.89844,189800
20-12-2023,48085.35156,48166.14844,47202.64844,47445.30078,242500
21-12-2023,47172.44922,47932.39844,46919.69922,47840.14844,208000
22-12-2023,47837.75,48071.39844,47415.85156,47491.85156,165800
26-12-2023,47576.39844,47838.44922,47411.64844,47724.85156,118700
27-12-2023,47818.5,48347.64844,47806.69922,48282.19922,184900
28-12-2023,48479.05078,48636.44922,48343.14844,48508.55078,391100
29-12-2023,48374.85156,48477.69922,48091.85156,48292.25,174000
